,no_internet,population,unemp,health_ins,poverty,SNAP,broad_num,broad_avail,broad_cost,all25_bbn
"Yuma County, Arizona",23.3,213787,16.4,13.3,20.1,19,3,45.4,47.5,4.628812234
"Arkansas County, Arkansas",36.9,17486,3,6.8,20,17.4,5,88.6,63.71,4.904436501
"Baxter County, Arkansas",27.8,41932,4,5.6,14,9.9,2,79.9,65.82,7.850748472
"Benton County, Arkansas",34.8,279141,2.6,9.4,9.9,5.7,4,59,69.98,9.007743727
"Boone County, Arkansas",21.5,37432,3.2,6.8,14.9,15.4,1,37.4,54.98,10.04588192
"Bradley County, Arkansas",36.6,10763,4.1,11.5,23.2,19.5,3,73,42.5,5.027338632
"Carroll County, Arkansas",33.1,28380,3.1,12.4,15,8,9,81.6,56.99,6.247480077
"Chicot County, Arkansas",39,10118,6.9,8.9,29.2,24.9,4,27.3,50.49,3.575899844
"Clark County, Arkansas",32.6,22320,3.8,8.6,19.8,13.1,4,42,77.47,7.914811603
"Clay County, Arkansas",36.1,14551,4.9,6.9,22.6,16.8,4,85.7,63.12,4.836253894
"Cleburne County, Arkansas",28.5,24919,4.5,9.2,14.6,8,4,48.4,63.65,5.883203285
"Cleveland County, Arkansas",43.5,7956,3.9,5.1,19.4,13.9,7,74.5,65.99,4.862761864
"Columbia County, Arkansas",40.1,23457,4.5,8.2,25.2,18.6,4,65.6,51.18,4.616813013
"Conway County, Arkansas",38.9,20846,4.3,7.4,18.2,13.9,5,48.6,43.72,5.980784459
"Craighead County, Arkansas",21,110332,2.8,9.3,18.4,13.7,3,16.5,56.48,6.426987805
"Crawford County, Arkansas",28.6,63257,3.3,8.9,15.9,12.3,2,65.6,69.99,7.073639562
"Crittenden County, Arkansas",28.1,47955,4.2,9.1,22.2,20.6,5,55.4,89.95,3.886825293
"Cross County, Arkansas",33.7,16419,4.2,7.3,16.7,13.7,5,80,56.25,3.960096238
"Desha County, Arkansas",49.8,11361,4.5,7.3,29.1,26.8,3,59.6,50,3.570395738
"Drew County, Arkansas",32,18219,5.2,5.9,21.4,15,4,14.8,62.48,4
"Faulkner County, Arkansas",23,126007,3,9.7,16.8,10.3,3,48.3,69.99,12.49782704
"Franklin County, Arkansas",37.1,17715,3.4,5.8,21.9,15.4,1,32.6,55.98,5.427789059
"Fulton County, Arkansas",41.7,12477,4,9.1,23.9,16.3,4,19.4,77.98,4.261403897
"Garland County, Arkansas",23.5,99386,3.7,11.2,18.6,12.2,2,54,59.98,7.735416565
"Grant County, Arkansas",26.5,18265,3.2,5,14.5,10.1,2,26.9,50.49,5.449853634
"Greene County, Arkansas",24.8,45325,3.5,6.9,16.3,15.5,7,79.4,65.99,9.410224969
"Hempstead County, Arkansas",32.5,21532,3.8,9.9,24.3,13.9,5,37.8,58.31,3.864391906
"Hot Spring County, Arkansas",34.5,33771,3.6,8.5,17.6,16.5,6,58.6,56.48,7.679050936
"Howard County, Arkansas",36,13202,3.3,9.1,19.2,17,3,91.9,60.24,4
"Independence County, Arkansas",37.3,37825,4,8.6,17.3,10.7,3,74.3,61.25,7.167943845
"Izard County, Arkansas",41.8,13629,5.5,7.2,17.1,12.8,3,18.3,63.66,5.000173747
"Jackson County, Arkansas",37.5,16719,6.5,8.1,23.3,20.1,1,42.8,34.99,4.933145555
"Jefferson County, Arkansas",43,66824,5.5,7.9,23.2,19.6,3,51,51.98,5.554026904
"Johnson County, Arkansas",34.4,26578,4.6,11,22.4,13.9,2,13.4,65,5.191801209
"Lafayette County, Arkansas",42.7,6624,4.7,10,22.2,19.2,2,51.6,44.98,4
"Lawrence County, Arkansas",36.1,16406,4.2,7.8,17.7,15.3,3,67.5,60.97,3.57270635
"Lee County, Arkansas",45.7,8857,4.5,8.5,26,29.2,4,86.5,62.49,3.555635751
"Lincoln County, Arkansas",41.1,13024,4.4,7.4,18.6,16.8,1,46.6,63,5
"Little River County, Arkansas",34.9,12259,4.3,6.2,15.8,16.9,4,63.3,56.25,4.757575758
"Lonoke County, Arkansas",22,73309,3.2,7.6,12.2,11,5,88.5,55.33,6.305777166
"Madison County, Arkansas",37.8,16576,2.5,11.4,16.8,9.6,2,38,34.99,6.155702072
"Marion County, Arkansas",25.7,16694,4,7,20.6,13.7,9,97.2,65.09,7.419549007
"Miller County, Arkansas",27.2,43257,4.1,10.7,21.2,13.7,4,64.3,63.31,6.596233539
"Mississippi County, Arkansas",33.3,40651,5.1,7.9,25.8,22.3,8,92.4,61.42,5.962510483
"Monroe County, Arkansas",44.2,6701,4.3,9.9,28.1,22.4,4,54.6,48.48,3.38913738
"Montgomery County, Arkansas",40.8,8986,4.6,12,18.9,15.3,2,50.1,73.65,4.618484518
"Nevada County, Arkansas",44.4,8252,4,8.7,27.7,22.3,7,95,55.25,3.815439956
"Newton County, Arkansas",40.6,7753,3.5,7.5,14.2,11.8,3,76.7,25,4.493791281
"Ouachita County, Arkansas",39.3,23382,5.2,7.4,24.1,17.9,3,41.9,68.99,3.9305422
"Perry County, Arkansas",33.7,10455,4.1,6,17,14,3,36.6,55.98,5.417321412
"Phillips County, Arkansas",38.4,17782,6,9.3,33.2,29.5,3,39.5,63.31,3.759177448
"Poinsett County, Arkansas",29.2,23528,3.4,11.5,21.8,20.1,1,10.5,51.25,5.257381077
"Polk County, Arkansas",36.4,19964,4.2,11.6,24.5,14,10,95.1,61.53,5.457915687
"Pope County, Arkansas",27.7,64072,4.3,9.1,18.5,12.5,8,65.2,58.11,6.380997283
"Prairie County, Arkansas",45.2,8062,4.4,8.2,15.7,12.4,2,45,50,3.310438681
"Pulaski County, Arkansas",24.2,391911,3.4,8.6,17,10.7,4,81.5,52.63,9.884625365
"Randolph County, Arkansas",35,17958,3.9,8.5,18.3,15.7,1,0.2,90.95,4.580846011
"St. Francis County, Arkansas",47.8,24994,5.2,10.3,26.6,24,4,69.5,83.97,3.662307424
"Saline County, Arkansas",18.8,122437,2.8,6.1,8.5,7.5,4,65,58.36,8.80248322
"Scott County, Arkansas",43.9,10281,3.4,8.8,22.1,19.1,4,71.7,84.17,3
"Searcy County, Arkansas",39.8,7881,4.6,7.3,21.1,13.6,3,67.9,59.98,6.826304612
"Sebastian County, Arkansas",26.9,127827,3.3,10.7,20.3,14.5,2,57,59.98,7.534652187
"Sevier County, Arkansas",28.6,17007,4.8,14.7,21,15.3,2,51.6,50.47,5
"Sharp County, Arkansas",41.8,17442,5,7.1,21.6,18.4,4,94.4,79.35,3.968328315
"Stone County, Arkansas",51.9,12506,4.7,7.5,22.5,18.2,2,80.6,66.97,7
"Union County, Arkansas",39.7,38682,5.2,10.6,20.1,14.2,1,45.4,55,4.698626318
"Van Buren County, Arkansas",38.2,16545,5,10.5,18.8,14.8,4,93.4,83.49,5.626949121
"Washington County, Arkansas",22.6,239187,2.4,11.5,16.8,7.7,6,73.2,85,9.087859995
"White County, Arkansas",26.4,78753,4.5,9,17,11.8,2,84.1,59.97,7.925823256
"Woodruff County, Arkansas",45.3,6320,5.3,6.1,25,26.7,5,87,82.22,4.418460139
"Yell County, Arkansas",32.7,21341,4,8.5,16.3,13.2,3,92,67.97,4.027323628
"Alameda County, California",12.2,1671329,2.9,5.1,10.6,6.5,8,98.5,88.05,9.92913057
"Alpine County, California",15.1,1129,5.1,10.3,19.8,11.7,3,17.3,68.5,5.141704036
"Amador County, California",17.4,39752,3.8,4.2,9.7,7.5,3,30.7,63.16,8.111793155
"Butte County, California",16.1,219186,5.1,7.4,20.1,11.9,3,89.1,70,5.411285032
"Calaveras County, California",20.4,45905,3.8,5.2,11.7,8.6,4,72.8,72.58,7.24868136
"Colusa County, California",22.3,21547,12.8,10.3,13.8,15.2,2,34.8,70,4.748657256
"Contra Costa County, California",9.6,1153526,3.1,5.7,9.1,6.4,7,99.1,93.42,8.037958658
"Del Norte County, California",22.8,27812,5.7,6.3,22.5,17.3,1,94.5,65,3.026751993
"El Dorado County, California",13.6,192843,3.5,5.2,8.9,6.1,6,80.6,62,7.5552664
"Fresno County, California",21.6,999101,7.2,9.5,24.1,20.1,7,89.2,62.48,7.73162732
"Glenn County, California",29.6,28393,6.1,9.6,18.8,10.8,3,65.5,70,5.327846944
"Humboldt County, California",18.5,135558,3.6,9.7,20.3,12.3,4,84.5,58.33,3.590278473
"Imperial County, California",25.6,181215,18.3,9.3,24.2,21.5,4,85.1,68.98,4.232932574
"Inyo County, California",21.9,18039,3.5,6.4,10.2,8.5,5,85.7,62.18,7.191305378
"Kern County, California",22.8,900202,7.7,9,22,17,7,93.8,65.13,8.765967955
"Kings County, California",22.3,152940,7.9,8.2,20.8,16.9,4,73.4,67.5,7.412176504
"Lake County, California",26.8,64386,5,9.5,21,11.4,3,92.2,60,3.730565178
"Lassen County, California",22.8,30573,4.6,5.7,13.8,8.2,1,43.4,77.48,5.568372687
"Los Angeles County, California",17.5,10039107,4.4,10.8,16,8.8,9,99.7,57.28,8.330323364
"Madera County, California",22.8,157327,6.9,9.4,20.8,17.6,6,70.6,97.97,8.310338844
"Marin County, California",9.2,258826,2.3,4,7.6,3,5,95.6,67.49,6.873039667
"Mariposa County, California",21.8,17203,4.6,4.9,14,10.6,2,8.1,106.46,5.577612863
"Mendocino County, California",21,86749,4,9.3,18.5,11.5,4,75,78.31,5.048626107
"Merced County, California",19.7,277680,8.1,8.7,22.7,19.7,6,84.4,67.5,8.247173889
"Modoc County, California",30.1,8841,7.1,12.3,16.6,9.5,1,4.8,73.31,3.530681543
"Mono County, California",16,14444,3.7,16.6,10.4,4.2,3,78.6,46.66,4.58339896
"Monterey County, California",18.9,434061,6.2,11.2,14.1,7.1,8,87.2,57.14,8.259308637
"Napa County, California",12.1,137744,2.8,6.5,8.1,4.5,5,93.4,66.66,8.244334702
"Nevada County, California",14.9,99755,3.3,7.8,11.4,6.2,4,74.3,58.33,7.420574598
"Orange County, California",10.3,3175692,2.8,8.4,11.5,6.4,8,98.3,56.1,8.681187726
"Placer County, California",11.2,398329,3.1,4.7,8,4.1,10,92.4,81.39,10.69359029
"Plumas County, California",23.1,18807,7.7,3.5,11.7,8.5,1,21.7,78.31,6.392390751
"Riverside County, California",14.9,2470546,4.2,10,14.7,9.7,9,96.8,57.09,8.669767011
"Sacramento County, California",14,1552058,3.7,6.3,15.8,11.6,6,96.8,54.25,8.216692865
"San Benito County, California",10.8,62808,5,7.4,9.2,9.2,6,86.8,67.5,11.65235447
"San Bernardino County, California",18,2180085,3.8,9.4,17.3,15.3,6,96.5,52.83,8.078434069
"San Diego County, California",11,3338330,3.2,8.7,12.5,7.2,7,95.9,58.71,8.765310203
"San Francisco County, California",13.7,881549,2.2,4.4,10.9,4.7,10,99.6,91.56,12.05430733
"San Joaquin County, California",19.3,762148,5.9,7.5,15.9,14.5,6,93.5,101.32,9.603420551
"San Luis Obispo County, California",13.3,283111,2.9,7.5,13.3,4.8,4,85.1,66.19,7.221756775
"San Mateo County, California",10,766573,2,4.8,7,3.5,8,99.3,93.63,9.599258639
"Santa Barbara County, California",14.1,446499,3.7,10.6,14.8,8.1,5,93.5,105.15,4.770634411
"Santa Clara County, California",9,1927852,2.5,4.8,7.9,4.7,8,96.9,84.82,10.48906177
"Santa Cruz County, California",13.3,273213,4.7,6.2,14.3,8.6,6,94.6,60.99,10.24869301
"Shasta County, California",20.5,180080,4.7,7.5,17.1,10.9,5,75.8,68.98,5.367754286
"Sierra County, California",26.4,3005,5.4,10.2,8.3,13.1,1,13,65,4.389499389
"Siskiyou County, California",21.5,43539,6.5,7,19.4,12.2,3,34.7,74.97,4.595583821
"Solano County, California",11,447643,3.7,5.6,10.4,9.1,6,95,66.66,7.891718169
"Sonoma County, California",12.3,494336,2.7,6.9,10.3,6.5,5,96.6,55.37,6.680468551
"Stanislaus County, California",16.8,550660,6,6.5,16.1,14.7,6,94.6,64.32,9.208890326
"Sutter County, California",17.5,96971,7.3,9.6,16,12.7,5,91.9,66.66,7.056186842
"Tehama County, California",27.4,65084,5.5,7.3,21.5,14,3,50.4,74.98,4.520490139
"Trinity County, California",32,12285,5.5,11.3,19.7,11.1,1,26.2,65.25,2.367831848
"Tulare County, California",25.9,466195,9.6,9.8,25.5,22.4,6,80.2,71.99,8.621345631
"Tuolumne County, California",21.1,54478,4.5,5.7,13.3,9.8,3,69.7,70,5.830153019
"Ventura County, California",13,846006,3.6,9.3,9.6,7.2,5,98.5,59.42,8.358375439
"Yolo County, California",13.1,220500,4.1,5.9,19.6,9.1,7,91.9,59.5,8.584332357
"Yuba County, California",19.1,78668,6.1,8,18,15.7,5,80.8,66.66,7.389281009
"Adams County, Colorado",17.4,517421,2.9,11.1,11.5,9.9,4,96.3,81.18,5.903748573
"Alamosa County, Colorado",26.9,16233,3.6,14,23.7,24.1,6,73.1,49.57,14.79047744
"Arapahoe County, Colorado",11.3,656590,2.7,8.2,9,6.8,6,98.3,82.48,6.030740969
"Archuleta County, Colorado",18.1,14029,3.2,11.1,10.7,7.8,3,46.5,79.99,6.860113262
"Baca County, Colorado",30.3,3581,1.7,6.8,19.2,13.4,3,53.1,83.3,5.7472309
"Bent County, Colorado",26,5577,2.9,9.5,22.9,26.3,3,56.5,59.95,5.874580067
"Boulder County, Colorado",10.1,326196,2.4,5,12.5,5.3,5,93.7,101.98,6.701568193
"Broomfield County, Colorado",7.4,70465,2.4,4.7,5,3.1,3,96.4,75,6.505025206
"Chaffee County, Colorado",17.4,20356,2.4,10.4,10.1,6,3,71,77.47,8.693980214
"Cheyenne County, Colorado",20.1,1831,1.6,11.2,11.5,12,4,73.1,59.95,6.544867657
"Clear Creek County, Colorado",15.3,9700,2.5,9,5.5,6.3,2,80,79.99,4
"Conejos County, Colorado",36.2,8205,3.6,13.5,22.4,23,3,40,53.31,6.524088542
"Crowley County, Colorado",24,6061,4.3,7,28.4,18.5,3,72.7,79.95,4.734096692
"Custer County, Colorado",16.7,5068,3,15.5,15.3,7.1,3,28.7,99.95,5
"Delta County, Colorado",27.3,31162,3.3,10.2,17.6,13,4,82.6,73.17,6.817593586
"Denver County, Colorado",15.9,727211,2.7,10.3,13.8,9,7,98.2,114.97,7.834462622
"Douglas County, Colorado",4.2,351154,2.4,2.9,3.5,1.8,3,97,137.47,7.074589238
"Eagle County, Colorado",10.5,55127,2.2,15.1,7,2.6,10,90.4,75,8.327428456
"Elbert County, Colorado",10.1,26729,2.2,5.8,4.4,3.6,7,93.6,106.97,8.207464607
"El Paso County, Colorado",10.2,720403,3.3,7.4,10.9,9.6,5,58.4,85,8.366348061
"Fremont County, Colorado",19.6,47839,4.6,7.1,15.3,14.4,3,83.8,77.47,7.891035463
"Garfield County, Colorado",15.7,60061,2.7,17.1,8.1,6,3,82.9,79.99,6.492846483
"Grand County, Colorado",13,15734,2.1,14.8,11.3,5.4,3,79,79.99,4.165339452
"Gunnison County, Colorado",15.8,17462,2.1,10.8,13.2,6.7,3,85.4,73.98,5.805889217
"Hinsdale County, Colorado",31,820,3.7,10.3,13,3.4,2,62.2,79.97,5
"Huerfano County, Colorado",36.6,6897,5.7,8.6,16,15.9,5,57.7,82.46,7.338273892
"Jackson County, Colorado",24.9,1392,2.3,10.6,15.7,5.7,2,40,49.97,4.92450037
"Jefferson County, Colorado",11,582881,2.5,5.8,7.4,4.6,4,98,77.99,6.069842716
"Kiowa County, Colorado",18,1406,1.6,5.9,11.3,14.3,2,55.4,59.95,6
"Kit Carson County, Colorado",21.7,7097,1.7,12.6,10.1,7.8,6,58.1,72.48,7.987027479
"Lake County, Colorado",23.6,8127,2.3,14.7,16.5,8.6,5,91.2,70,7.553861926
"La Plata County, Colorado",22.1,56221,2.5,9.1,8.7,4.2,5,66.6,73.33,6.849521204
"Larimer County, Colorado",11.4,356899,2.4,6.3,12,6.4,6,91.4,97.39,7.574258363
"Las Animas County, Colorado",30,14506,3.9,9.3,18.2,20.7,4,65.6,84.96,5.727003784
"Lincoln County, Colorado",21.1,5701,2.3,4,13.4,11.3,2,19.5,73.3,5.523315047
"Logan County, Colorado",19.4,22409,2.4,9.1,15,12,7,86.7,58.23,7.636435594
"Mesa County, Colorado",15.6,154210,3.4,10.1,15.7,11.5,4,92.3,79.98,4.965545608
"Mineral County, Colorado",20.8,769,2.3,8.3,12,2.1,3,81.5,39.95,6
"Moffat County, Colorado",20,13283,3.4,13.5,13.9,11.7,3,77.6,78.74,7.763072855
"Montezuma County, Colorado",30.4,26183,4.2,12.9,16.1,12.8,5,60.9,67.33,6.923507536
"Montrose County, Colorado",24.2,42758,3.1,10.9,16.7,11.9,5,72.8,72.64,8.401467505
"Morgan County, Colorado",20.5,29068,2.6,7.9,10,12.7,4,86.1,69.99,5.578324675
"Otero County, Colorado",29.2,18278,4.1,9.6,24.7,18.6,4,87.6,77.47,6.480219493
"Ouray County, Colorado",16.5,4952,2.9,10.1,9.9,7,2,36.7,75,6.114030478
"Park County, Colorado",16.9,18845,2.5,7.3,5.5,2.9,2,43.2,89.97,4.979279891
"Phillips County, Colorado",19.3,4265,1.6,15.6,6.7,9.4,4,92.1,34.95,5
"Pitkin County, Colorado",9.5,17767,3.1,13.4,7.2,2.7,4,89.9,83.31,6.3752862
"Prowers County, Colorado",23.2,12172,2.6,10.8,19,18.9,4,73.8,64.97,5.741294311
"Pueblo County, Colorado",25.6,168424,4.1,7,19,18.5,7,93,84.96,7.989740013
"Rio Blanco County, Colorado",21.1,6324,3.7,8.1,11.5,7.3,3,72.1,69.99,4
"Rio Grande County, Colorado",34.8,11267,4.1,10.8,17.1,18.5,4,69.5,52.47,8.879382411
"Routt County, Colorado",8.5,25638,2.2,8.1,10.7,2.9,4,77.5,73.75,5.780712949
"Saguache County, Colorado",35,6824,4,16.5,17.7,17.6,3,43.6,38.97,6.669107338
"San Juan County, Colorado",19.5,728,3,9.7,4.6,4.9,6,63.5,70,7
"San Miguel County, Colorado",18.3,8179,2.8,8,8.9,3.2,4,65.7,79.98,6.174894601
"Sedgwick County, Colorado",28.7,2248,2,7.7,17,17.2,3,74.5,34.95,7
"Summit County, Colorado",16.7,31011,1.8,18.5,10.1,2.8,3,94.8,79.99,4.34389512
"Teller County, Colorado",11.8,25388,3.1,9.1,8.3,9.2,4,66.7,63.98,6.405405405
"Washington County, Colorado",21.7,4908,2,5,10.7,7.2,3,51.5,52.48,4.290485344
"Weld County, Colorado",15.5,324492,2.5,7.8,10.6,8.4,6,84.6,63.18,7.465194694
"Yuma County, Colorado",25.9,10019,1.6,11.3,14.5,9.2,6,68.6,46.98,7.120234917
"Fairfield County, Connecticut",12.6,943332,3.6,8.7,8.8,8.9,7,99.9,58.71,4.976600279
"Hartford County, Connecticut",17.3,891720,3.9,4.4,11.1,15,4,98.5,58.49,4.851661871
"Litchfield County, Connecticut",14.4,180333,3.5,4.2,7,7.9,4,99.8,64.99,4.958491895
"Middlesex County, Connecticut",14.4,162436,3.2,3.3,6.9,8,2,99.3,148.64,4.169587783
"New Haven County, Connecticut",18.5,854757,3.9,5.2,11.9,15.2,6,99.7,62.19,4.759802086
"New London County, Connecticut",14.7,265206,3.6,4.3,10.2,11.7,5,97.6,59.19,4.818193705
